"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",0439785960,9780439785969,4.52
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",0439358078,9780439358071,4.45
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",0439554934,9780439554930,4.43
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",0439554896,9780439554893,4.36
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",043965548X,9780439655484,4.51
"Harry Potter Paperback Boxed Set, Books 1-6 (Harry Potter, #1-6)",0439887453,9780439887458,4.72
"Harry Potter Paperback Boxed Set, Books 1-5 (Harry Potter, #1-5)",0439682584,9780439682589,4.77
"Harry Potter Hardcover Boxed Set, Books 1-6 (Harry Potter, #1-6)",0439827604,9780439827607,4.72
"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",0517226952,9780517226957,4.37
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5),0345453743,9780345453747,4.37
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1400052920,9781400052929,4.20
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",0739322206,9780739322208,4.20
A Short History of Nearly Everything,076790818X,9780767908184,4.18
Bill Bryson's African Diary,0767915062,9780767915069,3.39
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,0767910435,9780767910439,3.86
In a Sunburned Country,0767903862,9780767903868,4.05
The Mother Tongue: English and How It Got That Way,0380715430,9780380715435,3.96
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,0345538374,9780345538376,4.59
"The Lord of the Rings (The Lord of the Rings, #1-3)",0618517650,9780618517657,4.46
"The Lord of the Rings (The Lord of the Rings, #1-3)",0618346244,9780618346240,4.46
The Lord of the Rings: Weapons and Warfare,0618391002,9780618391004,4.53
"The Lord of the Rings Hardcover Box Set (The Lord of the Rings, #1-3)",0618153977,9780618153978,4.46
"The Lord of the Rings (The Lord of the Rings, #1-3)",0553456539,9780553456530,4.55
"Cooking with Fernet Branca (Gerald Samper, #1)",193337201X,9781933372013,3.62
Agile Web Development with Rails: A Pragmatic Guide,097669400X,9780976694007,3.90
"Hatchet (Brian's Saga, #1)",0689840926,9780689840920,3.67
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",1557344493,9781557344496,4.00
Guts: The True Stories behind Hatchet and the Brian Books,0385326505,9780385326506,3.87
Molly Hatchet - 5 of the Best,1575606240,9781575606248,4.00
A Changeling for All Seasons,1595962808,9781595962805,3.74
"Changeling (Changeling, #1)",0670059676,9780670059676,3.58
The Changeling Sea,0141312629,9780141312620,4.05
"Changelings (The Twins of Petaybee, #1)",0593056124,9780593056127,3.72
The Changeling,0595321801,9780595321803,4.15
The Changeling,1590301943,9781590301944,3.53
"The Changeling (Daughters of England, #15)",0449146979,9780449146972,3.93
The Known World,0061159174,9780061159176,3.82
The Known World,0060749911,9780060749910,3.82
"Traders, Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives",0273704745,9780273704744,3.80
Artesia: Adventures in the Known World,1932386106,9781932386103,4.10
The Known World,096513671X,9780965136716,3.82
"The John McPhee Reader (John McPhee Reader, #1)",0374517193,9780374517199,4.42
Heirs of General Practice,0374519749,9780374519742,4.12
Annals of the Former World,0374518734,9780374518738,4.33
La Place de la Concorde Suisse,0374519323,9780374519322,3.89
Giving Good Weight,0374516006,9780374516000,4.20
The Heidi Chronicles,0822205106,9780822205104,3.72
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,0679734996,9780679734994,3.82
Pandering,0972016406,9780972016407,3.53
"Active Literacy Across the Curriculum: Strategies for Reading, Writing, Speaking, and Listening",1596670231,9781596670235,3.67
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,0800793617,9780800793616,4.46
Heidi,0753454947,9780753454947,3.96
Getting Results with Curriculum Mapping,0871209993,9780871209993,3.10
There's Always Enough: The Miraculous Move of God in Mozambique,1852402873,9781852402877,4.46
The Birthdays,0393061272,9780393061277,2.82
What to Expect the First Year (What to Expect),0761129588,9780761129585,3.85
The Player's Handbook: The Ultimate Guide on Dating and Relationships,0972016414,9780972016414,3.82
"God Emperor of Dune (Dune Chronicles, #4)",0441294677,9780441294671,3.80
Chapterhouse: Dune (Dune Chronicles #6),0441102670,9780441102679,3.88
Dune Messiah (Dune Chronicles #2),0441172695,9780441172696,3.85
"Heretics of Dune (Dune Chronicles, #5)",0399128980,9780399128981,3.82
The Road to Dune (Dune Universe),0765353709,9780765353702,3.81
Children of Dune (Dune Chronicles #3),0441104029,9780441104024,3.89
"Dune (Dune Chronicles, #1)",1402523807,9781402523809,4.18
"Dune Trilogy Box Set (Dune Chronicles, #1-3)",0425039323,9780425039328,4.35
The Dune Encyclopedia,0399129502,9780399129506,4.08
Heretics of Dune (Dune Chronicles #5),0441328008,9780441328000,3.82
The Battles of Dune,1559948981,9781559948982,4.15
The Trust: The Private and Powerful Family behind the New York Times,0756787122,9780756787127,3.91
"The Power of One (The Power of One, #1)",034541005X,9780345410054,4.34
"The Power of One (The Power of One, #1)",0385732546,9780385732543,4.34
Lose Weight with The Power of One: A Motivational Journey to Nutritional Sanity,0973322802,9780973322804,0.00
"The Power of One (The Power of One, #1)",1876584858,9781876584856,4.34
"Powers Unlimited One: A Sourcebook for Heroes Unlimited (Heroes Unlimited, #1)",1574570870,9781574570878,4.30
The Power of an Hour: Business and Life Mastery in One Hour a Week,0471780936,9780471780939,3.22
"The Power of One: The Solo Play for Playwrights, Actors, and Directors",0325001537,9780325001531,3.30
"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",006076287X,9780060762872,3.36
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,0072262788,9780072262780,3.53
Titanium eBay: A Tactical Guide to Becoming a Millionaire PowerSeller,1592574335,9781592574339,3.72
Starting an eBay Business for Dummies,0764569244,9780764569241,3.47
eBay: Top 100 Simplified Tips & Tricks,0471933821,9780471933823,4.11
Ruby Cookbook,0596523696,9780596523695,3.77
Ruby Ann's Down Home Trailer Park Cookbook,0806523492,9780806523491,3.98
Ruby Ann's Down Home Trailer Park Holiday Cookbook,0806523506,9780806523507,3.87
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,0806525363,9780806525365,3.89
Ruby Cookbook,0596003242,9780596003241,4.33
Rails Cookbook: Recipes for Rapid Web Development with Ruby,0596527314,9780596527310,3.52
Anna Karenina,0451528611,9780451528612,4.01
Anna Karenina,0140449175,9780140449174,4.01
CliffsNotes on Tolstoy's Anna Karenina,0822001837,9780822001836,3.80
Anna Karenina,1593080271,9781593080273,4.01
Anna Karenina,0486437965,9780486437965,4.01
Anna Karenina,1593081774,9781593081775,4.01
Anna Karenina,1419305948,9781419305948,4.01
Dinner with Anna Karenina,0778322270,9780778322276,2.98
Tolstoy: Anna Karenina,0521313252,9780521313254,4.17
Untouchable,0140183957,9780140183955,3.68
The Untouchable,0679767479,9780679767473,3.97
The Untouchables,1568491980,9781568491981,3.86
Dalit: The Black Untouchables of India,0932863051,9780932863058,4.00
Growing Up Untouchable in India: A Dalit Autobiography,0742508803,9780742508804,3.33
The Evidence-Based Social Work Skills Book,0205358624,9780205358625,2.33
A Challenge to the Critics: Scholarly Evidences of the Book of Mormon,0882903128,9780882903125,0.00
Little Known Evidences of the Book of Mormon,1555031285,9781555031282,3.70
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",1557344035,9781557344038,3.75
A Wrinkle in Time by Madeleine L'Engle: Study Guide,1586091840,9781586091842,4.25
A Wrinkle in Time: LitPlan Teacher Pack,1583370781,9781583370780,2.50
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),0821925326,9780821925324,4.04
Literature Circle Guide: A Wrinkle in Time,043927169X,9780439271691,3.46
Madeleine L'Engle: Author of a Wrinkle in Time (People in Focus),0875184855,9780875184852,4.29
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",0788701371,9780788701375,4.04
Literature Connections Sourcebook: A Wrinkle in Time and Related Readings,0395783518,9780395783511,3.89
"A Literature Guide to ""A Wrinkle in Time"" by Madeleine L'Engle",0943069203,9780943069203,0.00
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",0788746472,9780788746475,4.04
The Silver Sword,0901291668,9780901291660,4.29
The Long Shadow of Little Rock: A Memoir,0938626752,9780938626756,3.97
The Long Shadow of Temperament,0674015517,9780674015517,4.15
"The Long Shadow (The Morland Dynasty, #6)",0751506435,9780751506433,4.10
The Long Shadow,0533094496,9780533094493,0.00
The Collected Memoirs of Charles Willeford: I Was Looking for a Street/Something About a Soldier,1584440538,9781584440536,4.00
Sideswipe: A Hoke Moseley Novel,1400032482,9781400032488,4.05
Miami Blues,1400032466,9781400032464,3.98
I am Charlotte Simmons,1593977549,9781593977542,3.39
Poetry for Young People: Edward Lear,0806930772,9780806930770,3.79
The Puffin Book Of Nonsense Verse,0140366601,9780140366600,4.03
Tropic of Capricorn,0802151825,9780802151827,3.85
"Sexus (The Rosy Crucifixion, #1)",0802151809,9780802151803,4.04
The Air-Conditioned Nightmare,0811201066,9780811201063,3.86
The Portrait of a Lady,1593080964,9781593080969,3.76
"The Lover (The Lover, #1)",0375700528,9780375700521,3.76
The War,1565842219,9781565842212,3.86
The Beloved: Reflections on the Path of the Heart,014019553X,9780140195538,4.17
Jesus the Son of Man,0394431243,9780394431246,3.98
Sand and Foam,067943920X,9780679439202,4.10
Treasure Island,0753453800,9780753453803,3.81
Treasure Island,0689854684,9780689854682,3.81
Treasure Island,1596009330,9781596009332,3.81
Treasure Island,0786180412,9780786180417,3.81
Treasure Island (Great Illustrated Classics),1577658051,9781577658054,4.00
Daniel Deronda,037576013X,9780375760136,3.82
One Hundred Years of Solitude,0060531045,9780060531041,4.03
One Hundred Years of Solitude,006502396X,9780065023961,4.03
Jitterbug Perfume,0553348981,9780553348989,4.23
Perfume Dreams: Reflections on the Vietnamese Diaspora,1597140201,9781597140201,3.88
Perfume: The Story of a Murderer,0140120831,9780140120837,3.99
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,1582881847,9781582881843,4.02
The Door Into Summer,0345413997,9780345413994,3.99
Stranger in a Strange Land,0441788386,9780441788385,3.90
Time Enough for Love,,,3.95
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),0671625829,9780671625825,3.97
"The Salmon of Doubt (Dirk Gently, #3)",0345455290,9780345455291,3.92
"Life, the Universe and Everything (Hitchhiker's Guide, #3)",,9780345391827,4.18
Douglas Adams's Starship Titanic,0345368436,9780345368430,3.54
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,1417622857,9781417622856,3.92
The Phantom Tollbooth,0394820371,9780394820378,4.22
The Phantom Tollbooth: A Children's Play in Two Acts,0573650969,9780573650963,4.08
On Bullshit,0691122946,9780691122946,3.52
Another Bullshit Night in Suck City,0393329402,9780393329407,3.77
Underworld,0684848155,9780684848150,3.91
Libra,0140156046,9780140156041,3.97
Mao II,0140152741,9780140152746,3.68
Against the Day,159420120X,9781594201202,4.10
V.,0060930217,9780060930219,3.97
The Crying of Lot 49,0060931671,9780060931674,3.71
Gravity's Rainbow,0140283382,9780140283389,4.03
Gravity's Rainbow,0143039946,9780143039945,4.03
Slow Learner: Early Stories,0316724432,9780316724432,3.48
The White Album,0374522219,9780374522216,4.20
Where I Was From,0679752862,9780679752868,3.87
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,0307264874,9780307264879,4.48
Play It as It Lays,0374529949,9780374529949,3.86
The New York Trilogy,0143039830,9780143039839,3.92
"City of Glass (The New York Trilogy, #1)",0140097317,9780140097313,3.81
The New York Trilogy: City of Glass / Ghosts / The Locked Room,0140169636,9780140169638,3.92
"The Locked Room (The New York Trilogy, #3)",0940650762,9780940650763,3.90
The Brooklyn Follies,0312426232,9780312426231,3.81
Moon Palace,0140115854,9780140115857,3.99
Timbuktu,0312263996,9780312263997,3.65
Neon Lit: Paul Auster's City of Glass,038077108X,9780380771080,3.91
Why Write?,1886224145,9781886224148,3.73
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,034543871X,9780345438713,3.73
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,0393318281,9780393318289,4.39
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,0806519606,9780806519609,3.77
The Invention of Tradition,0521437733,9780521437738,3.96
The Story of Inventions,1930092407,9781930092402,3.58
Boys Of Summer,0373792689,9780373792689,3.79
Lord of the Flies,0307281701,9780307281708,3.63
Lord of the Flies,0399506438,9780399506437,3.63
Cliffs Notes on Golding's Lord of the Flies,0822007541,9780822007548,3.75
Lord of the Flies,0141800968,9780141800967,3.63
We Were Not Like Other People,0060255080,9780060255084,4.08
The Lovely Bones,,,3.76
Top 1000 Albums of All Time,085112786X,9780851127866,3.00
"Reefer Madness: Sex, Drugs, and Cheap Labor in the American Black Market",0965762645,9780965762649,3.75
"Vice (V, #8)",0553572490,9780553572490,3.50
