In Search of Schrödinger's Cat,0552125555,9780552125550,3.99
Schrodinger's Kittens and the Search for Reality: Solving the Quantum Mysteries,0316328197,9780316328197,4.00
Political Philosophy: A Very Short Introduction,0192803956,9780192803955,3.65
The Quantum World:,067401832X,9780674018327,3.92
Quantum Zoo: A Tourist's Guide to the Neverending Universe,0309103118,9780309103114,4.07
Quantum Theory: A Very Short Introduction,0192802526,9780192802521,3.81
Miss Nelson Is Missing!,0395664985,9780395664988,4.26
"Dykes to Watch Out For: The Sequel (DtWOF, #4)",1563410087,9781563410086,4.26
"New, Improved! Dykes to Watch Out For (DtWOF, #3)",0932379796,9780932379795,4.31
As a Driven Leaf,0874411033,9780874411034,4.10
"The Colour Out of Space: Tales of Cosmic Horror by Lovecraft, Blackwood, Machen, Poe, and Other Masters of the Weird",1590170261,9781590170267,4.21
"Letters from New York (Letters, Vol 2)",,9781892389374,4.36
"The Dark Worlds of H.P. Lovecraft, Vol 1",0809562685,9780809562688,3.87
"The Dark Worlds of H.P. Lovecraft, Vol 2",0809562669,9780809562664,3.96
"The Dark Worlds of H.P. Lovecraft, Vol 3",1897304048,9781897304044,3.92
H.P. Lovecraft's Arkham: Unveiling the Legend-Haunted City (Call of Cthulhu),1568821654,9781568821658,4.09
The Starry Wisdom,1840680873,9781840680874,3.69
Re-Animator,0671637231,9780671637231,3.33
Letters to Alfred Galpin,096732159X,9780967321592,4.50
The Letters of H.P. Lovecraft & Donald Wandrei (Letters 1),1892389495,9781892389497,4.33
At the Mountains of Madness (Omnibus 1),0586063226,9780586063224,4.15
"The Dark Worlds of H.P. Lovecraft, Vol 4",1897304242,9781897304242,3.91
Midnight Nation,1582404607,9781582404608,4.06
Conscious Classroom Management: Unlocking the Secrets of Great Teaching,1889236500,9781889236506,3.98
Connections and Symbols,0262660644,9780262660648,3.50
Hotheads,0141022388,9780141022383,3.73
Words and Rules: The Ingredients of Language,0297816470,9780297816478,3.89
El instinto del lenguaje,8420667323,9788420667324,4.04
Irrational Exuberance,0767923634,9780767923637,3.94
The Art of Love,0375761179,9780375761171,3.88
"The Lives, Loves and Art of Arthur B. Davies",0791438368,9780791438367,0.00
The Moral Animal: Why We Are The Way We Are:  The New Science of Evolutionary Psychology,0679407731,9780679407737,4.04
"Black Maps (John March, #1)",1400033594,9781400033591,3.56
"Red Cat (John March, #3)",0307263169,9780307263162,3.69
"Death's Little Helpers (John March, #2)",1400033608,9781400033607,3.60
Freedom's Gifts,0689802692,9780689802690,4.50
"My Sister, Myself (Dead Ringer #1)",0373229232,9780373229239,3.82
Bone Marrow Nei Kung: Taoist Techniques for Rejuvenating the Blood and Bone,159477112X,9781594771125,4.09
Artworks,0847827380,9780847827381,4.33
This Land is Your Land (Collection of Woody Guthrie Songs),0634051032,9780634051036,4.26
Monkey: The Journey to the West,0802130860,9780802130860,4.06
Work Your Way Around the World,1854583298,9781854583291,3.34
